"Municipio","year","tipo","valor"
"Acatic",1989,"Egresos",917410
"Acatic",1990,"Egresos",1395202
"Acatic",1991,"Egresos",1801890
"Acatic",1992,"Egresos",2312756
"Acatic",1993,"Egresos",4805520
"Acatic",1994,"Egresos",3395525
"Acatic",1995,"Egresos",4384320
"Acatic",1996,"Egresos",6562698
"Acatic",1997,"Egresos",8791704
"Acatic",1998,"Egresos",13215318
"Acatic",1999,"Egresos",20746464
"Acatic",2000,"Egresos",24582664
"Acatic",2001,"Egresos",34341318
"Acatic",2002,"Egresos",31113955
"Acatic",2003,"Egresos",35656324
"Acatic",2004,"Egresos",37774810
"Acatic",2005,"Egresos",49197714
"Acatic",2007,"Egresos",44302646
"Acatic",2008,"Egresos",54489780
"Acatic",2009,"Egresos",61838483
"Acatic",2010,"Egresos",61474754
"Acatic",2011,"Egresos",74677611
"Acatic",2012,"Egresos",79833192
"Acatic",2013,"Egresos",74129640
"Acatic",2015,"Egresos",96135665
"Acatic",2016,"Egresos",87213336
"Acatic",2017,"Egresos",94871666
"Acatic",2018,"Egresos",103281831
"Acatic",2019,"Egresos",100632684
"Acatic",2020,"Egresos",120507306
"Acatic",2021,"Egresos",123992066
"Acatlán de Juárez",1989,"Egresos",580578
"Acatlán de Juárez",1990,"Egresos",1014698
"Acatlán de Juárez",1991,"Egresos",1397766
"Acatlán de Juárez",1992,"Egresos",3424250
"Acatlán de Juárez",1993,"Egresos",2507224
"Acatlán de Juárez",1994,"Egresos",2501803
"Acatlán de Juárez",1995,"Egresos",3469012
"Acatlán de Juárez",1996,"Egresos",5487914
"Acatlán de Juárez",1997,"Egresos",7321984
"Acatlán de Juárez",1998,"Egresos",9843416
"Acatlán de Juárez",1999,"Egresos",13791091
"Acatlán de Juárez",2001,"Egresos",19241239
"Acatlán de Juárez",2002,"Egresos",21593309
"Acatlán de Juárez",2003,"Egresos",25085466
"Acatlán de Juárez",2004,"Egresos",26421241
"Acatlán de Juárez",2005,"Egresos",27464770
"Acatlán de Juárez",2006,"Egresos",33701094
"Acatlán de Juárez",2007,"Egresos",37587879
"Acatlán de Juárez",2008,"Egresos",61593068
"Acatlán de Juárez",2009,"Egresos",58323719
"Acatlán de Juárez",2010,"Egresos",55503748
"Acatlán de Juárez",2011,"Egresos",56838160
"Acatlán de Juárez",2012,"Egresos",59050480
"Acatlán de Juárez",2013,"Egresos",74276189
"Acatlán de Juárez",2014,"Egresos",85515460
"Acatlán de Juárez",2015,"Egresos",64839871
"Acatlán de Juárez",2016,"Egresos",76783322
"Acatlán de Juárez",2017,"Egresos",85070070
"Acatlán de Juárez",2018,"Egresos",79516706
"Acatlán de Juárez",2019,"Egresos",86275604
"Acatlán de Juárez",2020,"Egresos",99569953
"Acatlán de Juárez",2021,"Egresos",105186221
"Ahualulco de Mercado",1989,"Egresos",1787384
"Ahualulco de Mercado",1990,"Egresos",3259582
"Ahualulco de Mercado",1991,"Egresos",2261927
"Ahualulco de Mercado",1992,"Egresos",3569759
"Ahualulco de Mercado",1993,"Egresos",3652639
"Ahualulco de Mercado",1994,"Egresos",3777837
"Ahualulco de Mercado",1995,"Egresos",5228171
"Ahualulco de Mercado",1996,"Egresos",6319826
"Ahualulco de Mercado",1997,"Egresos",8255645
"Ahualulco de Mercado",1998,"Egresos",11972794
"Ahualulco de Mercado",1999,"Egresos",15301937
"Ahualulco de Mercado",2000,"Egresos",19168816
"Ahualulco de Mercado",2001,"Egresos",22653033
"Ahualulco de Mercado",2002,"Egresos",27522491
"Ahualulco de Mercado",2003,"Egresos",25852236
"Ahualulco de Mercado",2004,"Egresos",33375952
"Ahualulco de Mercado",2005,"Egresos",57749864
"Ahualulco de Mercado",2006,"Egresos",46033344
"Ahualulco de Mercado",2007,"Egresos",53118942
"Ahualulco de Mercado",2008,"Egresos",67188471
"Ahualulco de Mercado",2009,"Egresos",73589195
"Ahualulco de Mercado",2010,"Egresos",55528072
"Ahualulco de Mercado",2011,"Egresos",54294801
"Ahualulco de Mercado",2012,"Egresos",58618886
"Ahualulco de Mercado",2013,"Egresos",79432056
"Ahualulco de Mercado",2014,"Egresos",78820366
"Ahualulco de Mercado",2015,"Egresos",94625462
"Ahualulco de Mercado",2016,"Egresos",78824405
"Ahualulco de Mercado",2017,"Egresos",102071077
"Ahualulco de Mercado",2018,"Egresos",84896175
"Ahualulco de Mercado",2019,"Egresos",100722400
"Ahualulco de Mercado",2020,"Egresos",100422218
"Amacueca",1989,"Egresos",601026
"Amacueca",1990,"Egresos",463999
"Amacueca",1991,"Egresos",894588
"Amacueca",1992,"Egresos",998292
"Amacueca",1993,"Egresos",1054852
"Amacueca",1994,"Egresos",1182355
"Amacueca",1995,"Egresos",1343212
"Amacueca",1996,"Egresos",2597244
"Amacueca",1997,"Egresos",3944561
"Amacueca",1998,"Egresos",5040158
"Amacueca",1999,"Egresos",7901742
"Amacueca",2000,"Egresos",9303004
"Amacueca",2001,"Egresos",9690302
"Amacueca",2002,"Egresos",9427281
"Amacueca",2004,"Egresos",10686084
"Amacueca",2005,"Egresos",12652430
"Amacueca",2006,"Egresos",16102356
"Amacueca",2007,"Egresos",17846928
"Amacueca",2008,"Egresos",29580183
"Amacueca",2009,"Egresos",45186351
"Amacueca",2010,"Egresos",24408632
"Amacueca",2011,"Egresos",24910459
"Amacueca",2012,"Egresos",27550289
"Amacueca",2013,"Egresos",34228951
"Amacueca",2014,"Egresos",47765209
"Amacueca",2016,"Egresos",31117374
"Amacueca",2017,"Egresos",40374552
"Amacueca",2018,"Egresos",35389608
"Amacueca",2019,"Egresos",37900457
"Amacueca",2020,"Egresos",38144070
"Amacueca",2021,"Egresos",53547157
"Amatitán",1989,"Egresos",655179
"Amatitán",1990,"Egresos",1129220
"Amatitán",1991,"Egresos",1661336
"Amatitán",1992,"Egresos",2106682
"Amatitán",1993,"Egresos",3151952
"Amatitán",1994,"Egresos",5842759
"Amatitán",1995,"Egresos",3085691
"Amatitán",1996,"Egresos",3802865
"Amatitán",1997,"Egresos",5309323
"Amatitán",1998,"Egresos",9212572
"Amatitán",1999,"Egresos",14776179
"Amatitán",2000,"Egresos",15168933
"Amatitán",2001,"Egresos",16262957
"Amatitán",2002,"Egresos",20005884
"Amatitán",2003,"Egresos",19628928
"Amatitán",2004,"Egresos",27472266
"Amatitán",2005,"Egresos",27422118
"Amatitán",2007,"Egresos",34015802
"Amatitán",2008,"Egresos",60765606
"Amatitán",2010,"Egresos",34863004
"Amatitán",2011,"Egresos",40333674
"Amatitán",2012,"Egresos",44501437
"Amatitán",2013,"Egresos",59972296
"Amatitán",2014,"Egresos",44540659
"Amatitán",2015,"Egresos",50419104
"Amatitán",2016,"Egresos",49619587
"Amatitán",2017,"Egresos",58639830
"Amatitán",2018,"Egresos",58882173
"Amatitán",2019,"Egresos",65942213
"Amatitán",2020,"Egresos",67088947
"Amatitán",2021,"Egresos",74764432
"Ameca",1989,"Egresos",3058446
"Ameca",1990,"Egresos",5347239
"Ameca",1991,"Egresos",6806546
"Ameca",1992,"Egresos",8733054
"Ameca",1993,"Egresos",12184288
"Ameca",1994,"Egresos",11826081
"Ameca",1995,"Egresos",13148000
"Ameca",1996,"Egresos",17603167
"Ameca",1997,"Egresos",21088950
"Ameca",1998,"Egresos",31812343
"Ameca",2000,"Egresos",57192542
"Ameca",2001,"Egresos",58968983
"Ameca",2002,"Egresos",70849901
"Ameca",2003,"Egresos",78660558
"Ameca",2004,"Egresos",77448602
"Ameca",2005,"Egresos",88864417
"Ameca",2006,"Egresos",115868704
"Ameca",2007,"Egresos",114319875
"Ameca",2008,"Egresos",162471281
"Ameca",2009,"Egresos",179082051
"Ameca",2010,"Egresos",130190930
"Ameca",2011,"Egresos",131333871
"Ameca",2012,"Egresos",125258429
"Ameca",2013,"Egresos",141030900
"Ameca",2014,"Egresos",169409461
"Ameca",2015,"Egresos",148883176
"Ameca",2016,"Egresos",167220886
"Ameca",2017,"Egresos",196161518
"Ameca",2018,"Egresos",200989272
"Ameca",2019,"Egresos",275891991
"Ameca",2020,"Egresos",225855418
"Ameca",2021,"Egresos",225579822
"San Juanito de Escobedo",1989,"Egresos",377059
"San Juanito de Escobedo",1990,"Egresos",572091
"San Juanito de Escobedo",1991,"Egresos",836685
"San Juanito de Escobedo",1992,"Egresos",979173
"San Juanito de Escobedo",1993,"Egresos",1250298
"San Juanito de Escobedo",1994,"Egresos",1397135
"San Juanito de Escobedo",1995,"Egresos",1775085
"San Juanito de Escobedo",1996,"Egresos",2931862
"San Juanito de Escobedo",1997,"Egresos",4551943
"San Juanito de Escobedo",1998,"Egresos",6594641
"San Juanito de Escobedo",1999,"Egresos",7662139
"San Juanito de Escobedo",2000,"Egresos",9975077
"San Juanito de Escobedo",2001,"Egresos",10039903
"San Juanito de Escobedo",2003,"Egresos",12103860
"San Juanito de Escobedo",2004,"Egresos",15197991
"San Juanito de Escobedo",2005,"Egresos",16618286
"San Juanito de Escobedo",2007,"Egresos",24792976
"San Juanito de Escobedo",2009,"Egresos",36370745
"San Juanito de Escobedo",2010,"Egresos",30304110
"San Juanito de Escobedo",2011,"Egresos",28519400
"San Juanito de Escobedo",2013,"Egresos",29137700
"San Juanito de Escobedo",2014,"Egresos",49492197
"San Juanito de Escobedo",2015,"Egresos",33994154
"San Juanito de Escobedo",2016,"Egresos",33695840
"San Juanito de Escobedo",2017,"Egresos",39260958
"San Juanito de Escobedo",2018,"Egresos",59682104
"San Juanito de Escobedo",2019,"Egresos",87046038
"San Juanito de Escobedo",2020,"Egresos",55754660
"San Juanito de Escobedo",2021,"Egresos",69006006
"Arandas",1989,"Egresos",2100646
"Arandas",1990,"Egresos",3912726
"Arandas",1991,"Egresos",5577272
"Arandas",1992,"Egresos",7794161
"Arandas",1993,"Egresos",12655930
"Arandas",1994,"Egresos",11158183
"Arandas",1995,"Egresos",13167828
"Arandas",1996,"Egresos",19467799
"Arandas",1997,"Egresos",28797333
"Arandas",1998,"Egresos",55046287
"Arandas",1999,"Egresos",83086695
"Arandas",2000,"Egresos",90056707
"Arandas",2001,"Egresos",93798964
"Arandas",2002,"Egresos",120325539
"Arandas",2003,"Egresos",132594159
"Arandas",2004,"Egresos",146756487
"Arandas",2005,"Egresos",147828012
"Arandas",2006,"Egresos",152045322
"Arandas",2007,"Egresos",137845901
"Arandas",2008,"Egresos",163870612
"Arandas",2009,"Egresos",187642784
"Arandas",2010,"Egresos",155789858
"Arandas",2011,"Egresos",222136942
"Arandas",2012,"Egresos",230712322
"Arandas",2013,"Egresos",229992545
"Arandas",2014,"Egresos",229130010
"Arandas",2015,"Egresos",217863135
"Arandas",2016,"Egresos",234198768
"Arandas",2017,"Egresos",250445410
"Arandas",2018,"Egresos",293783688
"Arandas",2019,"Egresos",278401637
"Arandas",2020,"Egresos",277665859
"Arandas",2021,"Egresos",291789148
"El Arenal",1989,"Egresos",575135
"El Arenal",1990,"Egresos",894725
"El Arenal",1991,"Egresos",1408217
"El Arenal",1992,"Egresos",2341882
"El Arenal",1993,"Egresos",2769381
"El Arenal",1994,"Egresos",3014736
"El Arenal",1995,"Egresos",3332896
"El Arenal",1996,"Egresos",3839633
"El Arenal",1997,"Egresos",5277377
"El Arenal",1998,"Egresos",10492696
"El Arenal",1999,"Egresos",13582793
"El Arenal",2000,"Egresos",16338656
"El Arenal",2001,"Egresos",19151687
"El Arenal",2002,"Egresos",24682093
"El Arenal",2004,"Egresos",23763936
"El Arenal",2005,"Egresos",28233973
"El Arenal",2006,"Egresos",52566823
"El Arenal",2008,"Egresos",82419346
"El Arenal",2009,"Egresos",96153561
"El Arenal",2010,"Egresos",60250010
"El Arenal",2013,"Egresos",69887631
"El Arenal",2014,"Egresos",77549189
"El Arenal",2015,"Egresos",75853358
"El Arenal",2016,"Egresos",63584994
"El Arenal",2017,"Egresos",72819762
"El Arenal",2018,"Egresos",80085324
"El Arenal",2019,"Egresos",82374747
"El Arenal",2020,"Egresos",89678875
"Atemajac de Brizuela",1989,"Egresos",312468
"Atemajac de Brizuela",1990,"Egresos",473056
"Atemajac de Brizuela",1991,"Egresos",627704
"Atemajac de Brizuela",1992,"Egresos",898824
"Atemajac de Brizuela",1993,"Egresos",1099976
"Atemajac de Brizuela",1994,"Egresos",1391653
"Atemajac de Brizuela",1995,"Egresos",1637263
"Atemajac de Brizuela",1996,"Egresos",2554597
"Atemajac de Brizuela",1997,"Egresos",3943308
"Atemajac de Brizuela",1998,"Egresos",5737997
"Atemajac de Brizuela",1999,"Egresos",7090258
"Atemajac de Brizuela",2001,"Egresos",9605360
"Atemajac de Brizuela",2002,"Egresos",11554311
"Atemajac de Brizuela",2003,"Egresos",11785386
