"Edo","t","Subsectores.no.especificados","Tipo","id","Clave","cid"
"Aguascalientes","01/01/2007","4989","Agricultura",1,1,11
"Aguascalientes","01/04/2007","5000","Agricultura",1,1,11
"Aguascalientes","01/07/2007","6161","Agricultura",1,1,11
"Aguascalientes","01/10/2007","6698","Agricultura",1,1,11
"Aguascalientes","01/01/2008","148275","Agricultura",1,1,11
"Aguascalientes","01/04/2008","131784","Agricultura",1,1,11
"Aguascalientes","01/07/2008","139713","Agricultura",1,1,11
"Aguascalientes","01/10/2008","19875","Agricultura",1,1,11
"Aguascalientes","01/01/2009","10727","Agricultura",1,1,11
"Aguascalientes","01/04/2009","14738","Agricultura",1,1,11
"Aguascalientes","01/07/2009","18998","Agricultura",1,1,11
"Aguascalientes","01/10/2009","27392","Agricultura",1,1,11
"Aguascalientes","01/01/2010","18243","Agricultura",1,1,11
"Aguascalientes","01/04/2010","22321","Agricultura",1,1,11
"Aguascalientes","01/07/2010","17305","Agricultura",1,1,11
"Aguascalientes","01/10/2010","21931","Agricultura",1,1,11
"Aguascalientes","01/01/2011","20170","Agricultura",1,1,11
"Aguascalientes","01/04/2011","24964","Agricultura",1,1,11
"Aguascalientes","01/07/2011","27060","Agricultura",1,1,11
"Aguascalientes","01/10/2011","25363","Agricultura",1,1,11
"Aguascalientes","01/01/2012","12875","Agricultura",1,1,11
"Aguascalientes","01/04/2012","15040","Agricultura",1,1,11
"Aguascalientes","01/07/2012","9998","Agricultura",1,1,11
"Aguascalientes","01/10/2012","11668","Agricultura",1,1,11
"Aguascalientes","01/01/2013","26698","Agricultura",1,1,11
"Aguascalientes","01/04/2013","19612","Agricultura",1,1,11
"Aguascalientes","01/07/2013","21938","Agricultura",1,1,11
"Aguascalientes","01/10/2013","26422","Agricultura",1,1,11
"Aguascalientes","01/01/2014","16655","Agricultura",1,1,11
"Aguascalientes","01/04/2014","21641","Agricultura",1,1,11
"Aguascalientes","01/07/2014","27321","Agricultura",1,1,11
"Aguascalientes","01/10/2014","28876","Agricultura",1,1,11
"Aguascalientes","01/01/2015","51896","Agricultura",1,1,11
"Aguascalientes","01/04/2015","49476","Agricultura",1,1,11
"Aguascalientes","01/07/2015","22833","Agricultura",1,1,11
"Aguascalientes","01/10/2015","21721","Agricultura",1,1,11
"Aguascalientes","01/01/2016","23470","Agricultura",1,1,11
"Aguascalientes","01/04/2016","39699","Agricultura",1,1,11
"Aguascalientes","01/07/2016","21165","Agricultura",1,1,11
"Aguascalientes","01/10/2016","41122","Agricultura",1,1,11
"Aguascalientes","01/01/2017","24561","Agricultura",1,1,11
"Aguascalientes","01/04/2017","41290","Agricultura",1,1,11
"Aguascalientes","01/07/2017","42629","Agricultura",1,1,11
"Aguascalientes","01/10/2017","21227","Agricultura",1,1,11
