"time","categoria","concepto","valor","revisado","C","id"
"01/01/1999","sector","11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,1,1
"01/01/1999","sector","21 Minería",3.043554,3.043554,0,6
"01/01/1999","sector","22 Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final",,,1,10
"01/01/1999","sector","23 Construcción",1.875071,1.875071,0,13
"01/01/1999","sector","31-33 Industrias manufactureras",161.823317,161.823317,0,17
"01/01/1999","sector","43 y 46 Comercio",20.138609,20.138609,0,39
"01/01/1999","sector","48 y 49 Transportes, correos y almacenamiento",3.623871,3.623871,0,56
"01/01/1999","sector","51 Información en medios masivos",0.419201,0.419201,0,67
"01/01/1999","sector","52 Servicios financieros y de seguros",0.241438,0.241438,0,74
"01/01/1999","sector","53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles",0.309931,0.309931,0,78
"01/01/1999","sector","54 Servicios profesionales, científicos y técnicos",0.993227,0.993227,0,82
"01/01/1999","sector","56 Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",0.922157,0.922157,0,84
"01/01/1999","sector","61 Servicios educativos",0,0,0,87
"01/01/1999","sector","62 Servicios de salud y de asistencia social",0,0,0,89
"01/01/1999","sector","71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",,,1,94
"01/01/1999","sector","72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas",5.099605,5.099605,0,97
"01/01/1999","sector","81 Otros servicios excepto actividades gubernamentales",,,1,100
"01/01/1999","sector","Confidencial",0.034675,0.0346750000000497,0,104
"01/01/1999","subsector","111 Agricultura",,,1,2
"01/01/1999","subsector","112 Cría y explotación de animales",0,0,0,3
"01/01/1999","subsector","113 Aprovechamiento forestal",0,0,0,4
"01/01/1999","subsector","115 Servicios relacionados con las actividades agropecuarias y forestales",0,0,0,5
"01/01/1999","subsector","211 Extracción de petróleo y gas",0,0,0,7
"01/01/1999","subsector","212 Minería de minerales metálicos y no metálicos, excepto petróleo y gas",3.043554,3.043554,0,8
"01/01/1999","subsector","213 Servicios relacionados con la minería",0,0,0,9
"01/01/1999","subsector","221 Generación, transmisión y distribución de energía eléctrica",,,1,11
"01/01/1999","subsector","222 Suministro de agua y suministro de gas por ductos al consumidor final",0,0,0,12
"01/01/1999","subsector","236 Edificación",0,0,0,14
"01/01/1999","subsector","237 Construcción de obras de ingeniería civil",,,1,15
"01/01/1999","subsector","238 Trabajos especializados para la construcción",1.53215,1.53215,0,16
"01/01/1999","subsector","311 Industria alimentaria",32.124859,32.124859,0,18
"01/01/1999","subsector","312 Industria de las bebidas y del tabaco",10.85807,10.85807,0,19
"01/01/1999","subsector","313 Fabricación de insumos textiles y acabado de textiles",0,0,0,20
"01/01/1999","subsector","314 Fabricación de productos textiles, excepto prendas de vestir",0.246887,0.246887,0,21
"01/01/1999","subsector","315 Fabricación de prendas de vestir",1.617901,1.617901,0,22
"01/01/1999","subsector","316 Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",,,1,23
"01/01/1999","subsector","321 Industria de la madera",,,1,24
"01/01/1999","subsector","322 Industria del papel",7.795236,7.795236,0,25
"01/01/1999","subsector","323 Impresión e industrias conexas",0,0,0,26
"01/01/1999","subsector","324 Fabricación de productos derivados del petróleo y del carbón",0,0,0,27
"01/01/1999","subsector","325 Industria química",19.697277,19.697277,0,28
"01/01/1999","subsector","326 Industria del plástico y del hule",0.085178,0.085178,0,29
"01/01/1999","subsector","327 Fabricación de productos a base de minerales no metálicos",3.428493,3.428493,0,30
"01/01/1999","subsector","331 Industrias metálicas básicas",1.089183,1.089183,0,31
"01/01/1999","subsector","332 Fabricación de productos metálicos",0.462877,0.462877,0,32
"01/01/1999","subsector","333 Fabricación de maquinaria y equipo",64.823753,64.823753,0,33
"01/01/1999","subsector","334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",25.830188,25.830188,0,34
"01/01/1999","subsector","335 Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",0.933815,0.933815,0,35
"01/01/1999","subsector","336 Fabricación de equipo de transporte",-11.679683,-11.679683,0,36
"01/01/1999","subsector","337 Fabricación de muebles, colchones y persianas",0,0,0,37
"01/01/1999","subsector","339 Otras industrias manufactureras",1.504404,1.504404,0,38
"01/01/1999","subsector","431 Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco",1.434268,1.434268,0,40
"01/01/1999","subsector","432 Comercio al por mayor de productos textiles y calzado",,,1,41
"01/01/1999","subsector","433 Comercio al por mayor de productos farmacéuticos, de perfumería, artículos para el esparcimiento, electrodomésticos menores y aparatos de línea blanca",1.777453,1.777453,0,42
"01/01/1999","subsector","434 Comercio al por mayor de materias primas agropecuarias y forestales, para la industria, y materiales de desecho",6.815396,6.815396,0,43
"01/01/1999","subsector","435 Comercio al por mayor de maquinaria, equipo y mobiliario para actividades agropecuarias, industriales, de servicios y comerciales, y de otra maquinaria y equipo de uso general",0.968254,0.968254,0,44
"01/01/1999","subsector","436 Comercio al por mayor de camiones y de partes y refacciones nuevas para automóviles, camionetas y camiones",,,1,45
"01/01/1999","subsector","437 Intermediación de comercio al por mayor",0,0,0,46
"01/01/1999","subsector","461 Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco",,,1,47
"01/01/1999","subsector","462 Comercio al por menor en tiendas de autoservicio y departamentales",8.239923,8.239923,0,48
"01/01/1999","subsector","463 Comercio al por menor de productos textiles, bisutería, accesorios de vestir y calzado",,,1,49
"01/01/1999","subsector","464 Comercio al por menor de artículos para el cuidado de la salud",0,0,0,50
"01/01/1999","subsector","465 Comercio al por menor de artículos de papelería, para el esparcimiento y otros artículos de uso personal",0,0,0,51
