"Municipio","year","tipo","valor"
"Acatic",1989,"Ingresos",917410
"Acatic",1990,"Ingresos",1395202
"Acatic",1991,"Ingresos",1801890
"Acatic",1992,"Ingresos",2312756
"Acatic",1993,"Ingresos",4805520
"Acatic",1994,"Ingresos",3395525
"Acatic",1995,"Ingresos",4384320
"Acatic",1996,"Ingresos",6562698
"Acatic",1997,"Ingresos",8791704
"Acatic",1998,"Ingresos",13215318
"Acatic",1999,"Ingresos",20746464
"Acatic",2000,"Ingresos",24582664
"Acatic",2001,"Ingresos",34341318
"Acatic",2002,"Ingresos",31113955
"Acatic",2003,"Ingresos",35656324
"Acatic",2004,"Ingresos",37774810
"Acatic",2005,"Ingresos",49197714
"Acatic",2007,"Ingresos",44302646
"Acatic",2008,"Ingresos",54489780
"Acatic",2009,"Ingresos",61838483
"Acatic",2010,"Ingresos",61474754
"Acatic",2011,"Ingresos",74677611
"Acatic",2012,"Ingresos",79833192
"Acatic",2013,"Ingresos",74129640
"Acatic",2015,"Ingresos",96135665
"Acatic",2016,"Ingresos",87213336
"Acatic",2017,"Ingresos",94871666
"Acatic",2018,"Ingresos",103281831
"Acatic",2019,"Ingresos",100632684
"Acatic",2020,"Ingresos",120507306
"Acatic",2021,"Ingresos",123992066
"Acatlán de Juárez",1989,"Ingresos",580578
"Acatlán de Juárez",1990,"Ingresos",1014698
"Acatlán de Juárez",1991,"Ingresos",1397766
"Acatlán de Juárez",1992,"Ingresos",3424250
"Acatlán de Juárez",1993,"Ingresos",2507224
"Acatlán de Juárez",1994,"Ingresos",2501803
"Acatlán de Juárez",1995,"Ingresos",3469012
"Acatlán de Juárez",1996,"Ingresos",5487914
"Acatlán de Juárez",1997,"Ingresos",7321984
"Acatlán de Juárez",1998,"Ingresos",9843416
"Acatlán de Juárez",1999,"Ingresos",13791091
"Acatlán de Juárez",2001,"Ingresos",19241239
"Acatlán de Juárez",2002,"Ingresos",21593309
"Acatlán de Juárez",2003,"Ingresos",25085466
"Acatlán de Juárez",2004,"Ingresos",26421241
"Acatlán de Juárez",2005,"Ingresos",27464770
"Acatlán de Juárez",2006,"Ingresos",33701094
"Acatlán de Juárez",2007,"Ingresos",37587879
"Acatlán de Juárez",2008,"Ingresos",61593068
"Acatlán de Juárez",2009,"Ingresos",58323719
"Acatlán de Juárez",2010,"Ingresos",55503748
"Acatlán de Juárez",2011,"Ingresos",56838160
"Acatlán de Juárez",2012,"Ingresos",59050480
"Acatlán de Juárez",2013,"Ingresos",74276189
"Acatlán de Juárez",2014,"Ingresos",85515460
"Acatlán de Juárez",2015,"Ingresos",64839871
"Acatlán de Juárez",2016,"Ingresos",76783322
"Acatlán de Juárez",2017,"Ingresos",85070070
"Acatlán de Juárez",2018,"Ingresos",79516706
"Acatlán de Juárez",2019,"Ingresos",86275604
"Acatlán de Juárez",2020,"Ingresos",99569953
"Acatlán de Juárez",2021,"Ingresos",105186221
"Ahualulco de Mercado",1989,"Ingresos",1787384
"Ahualulco de Mercado",1990,"Ingresos",3259582
"Ahualulco de Mercado",1991,"Ingresos",2261927
"Ahualulco de Mercado",1992,"Ingresos",3569759
"Ahualulco de Mercado",1993,"Ingresos",3652639
"Ahualulco de Mercado",1994,"Ingresos",3777837
"Ahualulco de Mercado",1995,"Ingresos",5228171
"Ahualulco de Mercado",1996,"Ingresos",6319826
"Ahualulco de Mercado",1997,"Ingresos",8255645
"Ahualulco de Mercado",1998,"Ingresos",11972794
"Ahualulco de Mercado",1999,"Ingresos",15301937
"Ahualulco de Mercado",2000,"Ingresos",19168816
"Ahualulco de Mercado",2001,"Ingresos",22653033
"Ahualulco de Mercado",2002,"Ingresos",27522491
"Ahualulco de Mercado",2003,"Ingresos",25852236
"Ahualulco de Mercado",2004,"Ingresos",33375952
"Ahualulco de Mercado",2005,"Ingresos",57749864
"Ahualulco de Mercado",2006,"Ingresos",46033344
"Ahualulco de Mercado",2007,"Ingresos",53118942
"Ahualulco de Mercado",2008,"Ingresos",67188471
"Ahualulco de Mercado",2009,"Ingresos",73589195
"Ahualulco de Mercado",2010,"Ingresos",55528072
"Ahualulco de Mercado",2011,"Ingresos",54294801
"Ahualulco de Mercado",2012,"Ingresos",58618886
"Ahualulco de Mercado",2013,"Ingresos",79432056
"Ahualulco de Mercado",2014,"Ingresos",78820366
"Ahualulco de Mercado",2015,"Ingresos",94625462
"Ahualulco de Mercado",2016,"Ingresos",78824405
"Ahualulco de Mercado",2017,"Ingresos",102071077
"Ahualulco de Mercado",2018,"Ingresos",84896175
"Ahualulco de Mercado",2019,"Ingresos",100722400
"Ahualulco de Mercado",2020,"Ingresos",100422218
"Amacueca",1989,"Ingresos",601026
"Amacueca",1990,"Ingresos",463999
"Amacueca",1991,"Ingresos",894588
"Amacueca",1992,"Ingresos",998292
"Amacueca",1993,"Ingresos",1054852
"Amacueca",1994,"Ingresos",1182355
"Amacueca",1995,"Ingresos",1343212
"Amacueca",1996,"Ingresos",2597244
"Amacueca",1997,"Ingresos",3944561
"Amacueca",1998,"Ingresos",5040158
"Amacueca",1999,"Ingresos",7901742
"Amacueca",2000,"Ingresos",9303004
"Amacueca",2001,"Ingresos",9690302
"Amacueca",2002,"Ingresos",9427281
"Amacueca",2004,"Ingresos",10686084
"Amacueca",2005,"Ingresos",12652430
"Amacueca",2006,"Ingresos",16102356
"Amacueca",2007,"Ingresos",17846928
"Amacueca",2008,"Ingresos",29580183
"Amacueca",2009,"Ingresos",45186351
"Amacueca",2010,"Ingresos",24408632
"Amacueca",2011,"Ingresos",24910459
"Amacueca",2012,"Ingresos",27550289
"Amacueca",2013,"Ingresos",34228951
"Amacueca",2014,"Ingresos",47765209
"Amacueca",2016,"Ingresos",31117374
"Amacueca",2017,"Ingresos",40374552
"Amacueca",2018,"Ingresos",35389608
"Amacueca",2019,"Ingresos",37900457
"Amacueca",2020,"Ingresos",38144070
"Amacueca",2021,"Ingresos",53547157
"Amatitán",1989,"Ingresos",655179
"Amatitán",1990,"Ingresos",1129220
"Amatitán",1991,"Ingresos",1661336
"Amatitán",1992,"Ingresos",2106682
"Amatitán",1993,"Ingresos",3151952
"Amatitán",1994,"Ingresos",5842759
"Amatitán",1995,"Ingresos",3085691
"Amatitán",1996,"Ingresos",3802865
"Amatitán",1997,"Ingresos",5309323
"Amatitán",1998,"Ingresos",9212572
"Amatitán",1999,"Ingresos",14776179
"Amatitán",2000,"Ingresos",15168933
"Amatitán",2001,"Ingresos",16262957
"Amatitán",2002,"Ingresos",20005884
"Amatitán",2003,"Ingresos",19628928
"Amatitán",2004,"Ingresos",27472266
"Amatitán",2005,"Ingresos",27422118
"Amatitán",2007,"Ingresos",34015802
"Amatitán",2008,"Ingresos",60765606
"Amatitán",2010,"Ingresos",34863004
"Amatitán",2011,"Ingresos",40333674
"Amatitán",2012,"Ingresos",44501437
"Amatitán",2013,"Ingresos",59972296
"Amatitán",2014,"Ingresos",44540659
"Amatitán",2015,"Ingresos",50419104
"Amatitán",2016,"Ingresos",49619587
"Amatitán",2017,"Ingresos",58639830
