"sysdate","variable","value"
2019-05-03,"diesel",21.6170817120623
2019-05-06,"diesel",21.6146692607004
2019-05-07,"diesel",21.6090661478599
2019-05-08,"diesel",21.5992607003891
2019-05-09,"diesel",21.5902723735409
2019-05-10,"diesel",21.5727626459144
2019-05-13,"diesel",21.5669260700389
2019-05-14,"diesel",21.5664591439689
2019-05-15,"diesel",21.5670428015564
2019-05-16,"diesel",21.5638521400778
2019-05-17,"diesel",21.5601167315175
2019-05-20,"diesel",21.5594552529183
2019-05-21,"diesel",21.5563813229572
2019-05-22,"diesel",21.5710894941634
2019-05-23,"diesel",21.5812451361868
2019-05-24,"diesel",21.5872762645914
2019-05-27,"diesel",21.5878210116732
2019-05-28,"diesel",21.5878210116732
2019-05-29,"diesel",21.5687159533074
2019-05-30,"diesel",21.5535019455253
2019-05-31,"diesel",21.537859922179
2019-06-03,"diesel",21.5014785992218
2019-06-04,"diesel",21.4948449612403
2019-06-05,"diesel",21.4793410852713
2019-06-06,"diesel",21.4584108527132
2019-06-07,"diesel",21.4211240310078
2019-06-10,"diesel",21.3913178294574
2019-06-11,"diesel",21.385503875969
2019-06-12,"diesel",21.3908139534884
2019-06-13,"diesel",21.3801162790698
2019-06-14,"diesel",21.3587209302326
2019-06-17,"diesel",21.3279536679537
2019-06-18,"diesel",21.3326153846154
2019-06-19,"diesel",21.3389615384615
2019-06-20,"diesel",21.3383908045977
2019-06-21,"diesel",21.3345977011494
2019-06-24,"diesel",21.3336259541985
2019-06-25,"diesel",21.3346564885496
2019-06-26,"diesel",21.3441603053435
2019-06-27,"diesel",21.3646183206107
2019-06-28,"diesel",21.383893129771
2019-07-01,"diesel",21.4007633587786
2019-07-02,"diesel",21.3985496183206
2019-07-04,"diesel",21.4054198473282
2019-07-05,"diesel",21.4010687022901
2019-07-08,"diesel",21.3976335877863
2019-07-09,"diesel",21.3972519083969
2019-07-10,"diesel",21.4000763358779
2019-07-11,"diesel",21.3921755725191
2019-07-12,"diesel",21.3637786259542
2019-07-15,"diesel",21.3479770992366
2019-07-16,"diesel",21.3498091603053
2019-07-17,"diesel",21.3632061068702
2019-07-18,"diesel",21.3777480916031
2019-07-19,"diesel",21.3845419847328
2019-07-22,"diesel",21.3865399239544
2019-07-23,"diesel",21.3855133079848
2019-07-24,"diesel",21.3746768060836
2019-07-25,"diesel",21.3638022813688
2019-07-26,"diesel",21.3603802281369
2019-07-29,"diesel",21.3490494296578
2019-07-30,"diesel",21.3487072243346
2019-07-31,"diesel",21.3531178707224
2019-08-01,"diesel",21.3563878326996
2019-08-02,"diesel",21.3620912547529
2019-08-05,"diesel",21.3723106060606
2019-08-06,"diesel",21.3718939393939
2019-08-07,"diesel",21.3724060150376
2019-08-08,"diesel",21.3598496240601
2019-08-09,"diesel",21.3415413533835
2019-08-12,"diesel",21.3128571428571
2019-08-13,"diesel",21.3074436090226
2019-08-14,"diesel",21.2908270676692
2019-08-15,"diesel",21.2729323308271
2019-08-16,"diesel",21.2586090225564
2019-08-19,"diesel",21.2392481203008
2019-08-20,"diesel",21.2396240601504
2019-08-21,"diesel",21.243984962406
2019-08-22,"diesel",21.2442481203008
2019-08-23,"diesel",21.2544360902256
2019-08-27,"diesel",21.2629323308271
2019-08-28,"diesel",21.2658270676692
2019-08-29,"diesel",21.2703007518797
2019-08-30,"diesel",21.2729323308271
2019-09-02,"diesel",21.277030075188
2019-09-03,"diesel",21.2768796992481
2019-09-04,"diesel",21.2777443609023
2019-09-05,"diesel",21.2729323308271
2019-09-06,"diesel",21.2713533834586
2019-09-09,"diesel",21.2678195488722
2019-09-10,"diesel",21.2663157894737
2019-09-11,"diesel",21.2646992481203
2019-09-12,"diesel",21.2636466165414
2019-09-13,"diesel",21.2635338345865
2019-09-17,"diesel",21.2647744360902
2019-09-18,"diesel",21.263045112782
2019-09-19,"diesel",21.2493984962406
2019-09-20,"diesel",21.2416165413534
2019-09-23,"diesel",21.2344736842105
2019-09-24,"diesel",21.2325563909774
2019-09-25,"diesel",21.2425939849624
2019-09-26,"diesel",21.2505263157895
2019-09-30,"diesel",21.2565789473684
2019-10-01,"diesel",21.2572932330827
2019-10-02,"diesel",21.256954887218
2019-10-03,"diesel",21.2501503759398
2019-10-04,"diesel",21.2457518796992
2019-10-07,"diesel",21.2301872659176
2019-10-08,"diesel",21.2296616541353
2019-10-09,"diesel",21.2190977443609
2019-10-21,"diesel",21.2004887218045
2019-10-30,"diesel",21.1804887218045
2019-11-01,"diesel",21.1787218045113
2019-11-04,"diesel",21.1747744360902
2019-11-05,"diesel",21.1754511278195
2019-11-06,"diesel",21.1717293233083
2019-11-07,"diesel",21.165037593985
2019-11-11,"diesel",21.1647744360902
2019-11-13,"diesel",21.1659550561798
2019-11-14,"diesel",21.1678651685393
2019-11-19,"diesel",21.1725842696629
2019-11-20,"diesel",21.1736329588015
2019-11-26,"diesel",21.1887686567164
2019-11-27,"diesel",21.195671641791
2019-11-28,"diesel",21.1968656716418
2019-11-29,"diesel",21.2144402985075
2019-12-02,"diesel",21.2353731343284
2019-12-03,"diesel",21.235223880597
2019-12-04,"diesel",21.2448880597015
2019-12-05,"diesel",21.2473880597015
2019-12-09,"diesel",21.245671641791
2019-12-11,"diesel",21.2323507462687
2019-12-12,"diesel",21.2280970149254
2019-12-13,"diesel",21.2216791044776
2019-12-16,"diesel",21.2173507462687
2019-12-17,"diesel",21.2169029850746
2019-12-18,"diesel",21.2166791044776
2019-12-19,"diesel",21.2163805970149
2019-12-20,"diesel",21.2197388059701
2020-01-08,"diesel",21.2825650557621
2020-01-09,"diesel",21.2769144981413
2020-01-10,"diesel",21.2792936802974
2020-01-13,"diesel",21.2698884758364
2020-01-14,"diesel",21.2704089219331
2020-01-15,"diesel",21.2717100371747
2020-01-16,"diesel",21.2659107806691
2020-01-17,"diesel",21.258624535316
2020-01-20,"diesel",21.2562453531599
2020-01-21,"diesel",21.2628252788104
2020-01-22,"diesel",21.2777695167286
2020-01-23,"diesel",21.2818959107807
2020-01-24,"diesel",21.2823791821561
2020-01-27,"diesel",21.3403345724907
2020-01-28,"diesel",21.3436059479554
2020-01-30,"diesel",21.2648327137546
2020-01-31,"diesel",21.254907063197
2020-02-04,"diesel",21.2122304832714
2020-02-05,"diesel",21.204126394052
2020-02-10,"diesel",21.1157249070632
2020-02-11,"diesel",21.1130483271375
2020-02-13,"diesel",21.1002973977695
2020-02-17,"diesel",21.0855762081784
2020-02-18,"diesel",21.0858148148148
2020-02-19,"diesel",21.0828518518519
2020-02-20,"diesel",21.0857777777778
2020-02-21,"diesel",21.0791111111111
2020-02-24,"diesel",21.0693333333333
2020-02-25,"diesel",21.0707777777778
2020-02-26,"diesel",21.0767777777778
2020-02-27,"diesel",21.0744444444444
2020-02-28,"diesel",21.0553703703704
2020-03-02,"diesel",20.9810740740741
2020-03-03,"diesel",20.9894444444444
2020-03-04,"diesel",20.9800740740741
2020-03-05,"diesel",20.9714814814815
2020-03-06,"diesel",20.9721111111111
2020-03-09,"diesel",20.9494074074074
2020-03-10,"diesel",20.9464444444444
2020-03-11,"diesel",20.9202962962963
2020-03-12,"diesel",20.8518888888889
2020-03-13,"diesel",20.7790740740741
2020-03-17,"diesel",20.5301111111111
2020-03-18,"diesel",20.4625555555556
2020-03-19,"diesel",20.2543703703704
2020-03-20,"diesel",20.0912274368231
2020-03-21,"diesel",19.6965342960289
2020-03-22,"diesel",19.6991851851852
2020-03-23,"diesel",19.6639259259259
2020-03-24,"diesel",19.6010740740741
2020-03-25,"diesel",19.5359259259259
2020-03-26,"diesel",19.4823333333333
2020-03-27,"diesel",19.4734444444444
2020-03-28,"diesel",19.4768888888889
2020-03-29,"diesel",19.4406296296296
2020-03-30,"diesel",19.420962962963
2020-03-31,"diesel",19.3888148148148
2020-04-01,"diesel",19.3266296296296
2020-04-02,"diesel",19.2929259259259
2020-04-03,"diesel",19.2703703703704
2020-04-04,"diesel",19.2353703703704
2020-04-05,"diesel",19.2185555555556
2020-04-06,"diesel",19.2182962962963
2020-04-07,"diesel",19.2054074074074
2020-04-08,"diesel",19.2152592592593
2020-04-09,"diesel",19.2384444444444
2020-04-10,"diesel",19.1983333333333
2020-04-11,"diesel",19.1931111111111
2020-04-12,"diesel",19.1857777777778
2020-04-13,"diesel",19.1813333333333
2020-04-14,"diesel",19.1735925925926
2020-04-15,"diesel",19.1610740740741
2020-04-16,"diesel",19.1448148148148
2020-04-17,"diesel",19.1235793357934
2020-04-18,"diesel",19.0919557195572
2020-04-19,"diesel",19.080036900369
2020-04-20,"diesel",19.08
2020-04-21,"diesel",19.0744649446494
2020-04-22,"diesel",19.0725830258303
2020-04-23,"diesel",19.050147601476
2020-04-24,"diesel",18.9981180811808
2020-04-25,"diesel",18.8959409594096
2020-04-26,"diesel",18.8572324723247
2020-04-27,"diesel",18.8352398523985
2020-04-28,"diesel",18.8120295202952
2020-04-29,"diesel",18.7453505535055
2020-04-30,"diesel",18.659963099631
2020-05-01,"diesel",18.6053136531365
2020-05-02,"diesel",18.5677859778598
2020-05-03,"diesel",18.5290405904059
2020-05-04,"diesel",18.5282287822878
2020-05-05,"diesel",18.5264206642066
2020-05-06,"diesel",18.5409594095941
2020-05-07,"diesel",18.5084501845018
2020-05-08,"diesel",18.5129151291513
2020-05-09,"diesel",18.5377121771218
2020-05-10,"diesel",18.5031734317343
2020-05-11,"diesel",18.5054612546125
2020-05-12,"diesel",18.5020295202952
2020-05-13,"diesel",18.4909963099631
2020-05-14,"diesel",18.4977121771218
2020-05-15,"diesel",18.5049077490775
2020-05-16,"diesel",18.470036900369
2020-05-17,"diesel",18.4692619926199
2020-05-18,"diesel",18.4581918819188
2020-05-19,"diesel",18.4372324723247
2020-05-20,"diesel",18.4787453874539
2020-05-21,"diesel",18.5386346863469
2020-05-22,"diesel",18.6217712177122
2020-05-23,"diesel",18.6340590405904
2020-05-24,"diesel",18.6416974169742
2020-05-25,"diesel",18.6456457564576
2020-05-26,"diesel",18.6530258302583
2020-05-27,"diesel",18.6535055350554
2020-05-28,"diesel",18.6468634686347
2020-05-29,"diesel",18.6368634686347
2020-05-30,"diesel",18.6217343173432
2020-05-31,"diesel",18.5932472324723
2020-06-01,"diesel",18.5812915129151
2020-06-02,"diesel",18.580221402214
2020-06-03,"diesel",18.5623985239852
2020-06-04,"diesel",18.5735793357934
2020-06-05,"diesel",18.5888929889299
2020-06-06,"diesel",18.5946494464945
2020-06-07,"diesel",18.5948708487085
2020-06-08,"diesel",18.5951660516605
2020-06-09,"diesel",18.5994095940959
2020-06-10,"diesel",18.639926199262
2020-06-11,"diesel",18.6840221402214
2020-06-12,"diesel",18.7127675276753
2020-06-13,"diesel",18.7391881918819
2020-06-14,"diesel",18.7442804428044
2020-06-15,"diesel",18.7480442804428
2020-06-16,"diesel",18.7488560885609
2020-06-17,"diesel",18.7560147601476
2020-06-18,"diesel",18.7777121771218
2020-06-19,"diesel",18.8239114391144
2020-06-20,"diesel",18.8765313653137
2020-06-21,"diesel",18.9808487084871
2020-06-22,"diesel",18.9992619926199
2020-06-23,"diesel",19.0332841328413
2020-06-24,"diesel",19.1163468634686
2020-06-25,"diesel",19.1671217712177
2020-06-26,"diesel",19.2159409594096
2020-06-27,"diesel",19.2364206642066
2020-06-28,"diesel",19.2365682656827
2020-06-29,"diesel",19.2410332103321
2020-06-30,"diesel",19.2566789667897
2020-07-01,"diesel",19.2538376383764
2020-07-02,"diesel",19.2811070110701
2020-07-03,"diesel",19.3233579335793
2020-07-04,"diesel",19.3670479704797
2020-07-05,"diesel",19.3950184501845
2020-07-06,"diesel",19.4017343173432
2020-07-07,"diesel",19.4145756457565
2020-07-08,"diesel",19.4464944649446
2020-07-09,"diesel",19.4680442804428
2020-07-10,"diesel",19.499852398524
2020-07-11,"diesel",19.5387822878229
2020-07-12,"diesel",19.5761623616236
2020-07-13,"diesel",19.5833579335793
2020-07-14,"diesel",19.5890405904059
2020-07-15,"diesel",19.6133579335793
2020-07-16,"diesel",19.6243173431734
2020-07-17,"diesel",19.6276383763838
2020-07-18,"diesel",19.6449446494465
2020-07-19,"diesel",19.6453505535055
2020-07-20,"diesel",19.6425461254613
2020-07-21,"diesel",19.6439114391144
2020-07-22,"diesel",19.6373800738007
2020-07-23,"diesel",19.6545756457565
2020-07-24,"diesel",19.6740590405904
2020-07-25,"diesel",19.6812915129151
2020-07-26,"diesel",19.6885977859779
2020-07-27,"diesel",19.689520295203
2020-07-28,"diesel",19.6994833948339
2020-07-29,"diesel",19.6987453874539
2020-07-30,"diesel",19.6984870848708
2020-07-31,"diesel",19.6774169741697
2020-08-01,"diesel",19.6766789667897
2020-08-02,"diesel",19.6673062730627
2020-08-03,"diesel",19.6682656826568
2020-08-04,"diesel",19.6647601476015
2020-08-05,"diesel",19.6560516605166
2020-08-06,"diesel",19.6487453874539
2020-08-07,"diesel",19.660110701107
2020-08-08,"diesel",19.6494095940959
2020-08-09,"diesel",19.6550184501845
2020-08-10,"diesel",19.6535424354244
2020-08-11,"diesel",19.6530627306273
2020-08-12,"diesel",19.6490036900369
2020-08-13,"diesel",19.6424723247232
2020-08-14,"diesel",19.6418081180812
2020-08-15,"diesel",19.6409594095941
